station_name,line,borough,segment,unique_key,station_key,station_key_split,line_designators_str
Wall St,2,M,Broadway/7 Av (CBD),2Wall StBroadway/7 Av (CBD),Wall_St|2_3,2|Wall_St|2_3,2_3
Wall St,3,M,Broadway/7 Av (CBD),3Wall StBroadway/7 Av (CBD),Wall_St|2_3,3|Wall_St|2_3,2_3
Rector St,1,M,Broadway/7 Av (CBD),1Rector StBroadway/7 Av (CBD),Rector_St|1,1|Rector_St|1,1
Cortlandt St,1,M,Broadway/7 Av (CBD),1Cortlandt StBroadway/7 Av (CBD),Cortlandt_St|1,1|Cortlandt_St|1,1
Chambers St,1,M,Broadway/7 Av (CBD),1Chambers StBroadway/7 Av (CBD),Chambers_St|1_2_3,1|Chambers_St|1_2_3,1_2_3
Chambers St,2,M,Broadway/7 Av (CBD),2Chambers StBroadway/7 Av (CBD),Chambers_St|1_2_3,2|Chambers_St|1_2_3,1_2_3
Chambers St,3,M,Broadway/7 Av (CBD),3Chambers StBroadway/7 Av (CBD),Chambers_St|1_2_3,3|Chambers_St|1_2_3,1_2_3
Franklin St,1,M,Broadway/7 Av (CBD),1Franklin StBroadway/7 Av (CBD),Franklin_St|1,1|Franklin_St|1,1
Canal St,1,M,Broadway/7 Av (CBD),1Canal StBroadway/7 Av (CBD),Canal_St|1,1|Canal_St|1,1
Houston St,1,M,Broadway/7 Av (CBD),1Houston StBroadway/7 Av (CBD),Houston_St|1,1|Houston_St|1,1
Christopher St-Sheridan Sq,1,M,Broadway/7 Av (CBD),1Christopher St-Sheridan SqBroadway/7 Av (CBD),Christopher_St_Sheridan_Sq|1,1|Christopher_St_Sheridan_Sq|1,1
18 St,1,M,Broadway/7 Av (CBD),118 StBroadway/7 Av (CBD),18_St|1,1|18_St|1,1
23 St,1,M,Broadway/7 Av (CBD),123 StBroadway/7 Av (CBD),23_St|1,1|23_St|1,1
28 St,1,M,Broadway/7 Av (CBD),128 StBroadway/7 Av (CBD),28_St|1,1|28_St|1,1
34 St-Penn Station,1,M,Broadway/7 Av (CBD),134 St-Penn StationBroadway/7 Av (CBD),34_St_Penn_Station|1_2_3,1|34_St_Penn_Station|1_2_3,1_2_3
34 St-Penn Station,2,M,Broadway/7 Av (CBD),234 St-Penn StationBroadway/7 Av (CBD),34_St_Penn_Station|1_2_3,2|34_St_Penn_Station|1_2_3,1_2_3
34 St-Penn Station,3,M,Broadway/7 Av (CBD),334 St-Penn StationBroadway/7 Av (CBD),34_St_Penn_Station|1_2_3,3|34_St_Penn_Station|1_2_3,1_2_3
50 St,1,M,Broadway/7 Av (CBD),150 StBroadway/7 Av (CBD),50_St|1,1|50_St|1,1
66 St-Lincoln Center,1,M,Broadway/ 7 Av  (Non-CBD),166 St-Lincoln CenterBroadway/ 7 Av  (Non-CBD),66_St_Lincoln_Center|1,1|66_St_Lincoln_Center|1,1
72 St,1,M,Broadway/ 7 Av  (Non-CBD),172 StBroadway/ 7 Av  (Non-CBD),72_St|1_2_3,1|72_St|1_2_3,1_2_3
