Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
MA,Wall St,Broadway/7 Ave Line (CBD),7/1/1918,,,8339860,8650908,8517634,8180520,8312995,8162558,8054556,8917718,9990900,11054806,9527198,8814107,7834834,7370148,6852292,6507639,6397316,6511178,6498435,6676748,6832753,6790092,6611299,6655236,6330065,6152872,6411940,6828454,6805137,6424541,5567840,5219809,4724794,4673331,4935950,4819535,4901361,5222005
MA,Fulton St,Broadway/7 Ave Line (CBD),7/1/1918,,See Manhattan CBD Transfer: Fulton St/Bway-Nassau St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Park Place,Broadway/7 Ave Line (CBD),7/1/1918,,See Manhattan CBD Transfer: Chambers St-WTC/Park Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,South Ferry,Broadway/7 Ave Line (CBD),7/10/1905,3/16/2009,See Manhattan CBD Transfer: South Ferry-Whitehall St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Rector St,Broadway/7 Ave Line (CBD),7/1/1918,,,1838240,2027400,2062906,2008262,2019472,1934233,1924626,2060465,2064163,2078540,1909373,1798214,1571045,1529283,1381501,1321780,1194469,1081575,1037596,1026327,1022706,890849,870939,954157,956235,953055,1179053,1270910,1282917,1186763,1007389,1000718,996875,1028243,970928,919567,928148,950915
MA,Cortlandt St,Broadway/7 Ave Line (CBD),7/1/1918,,,2538004,2601940,2602898,2518718,2460361,2205919,1840362,1494283,1029546,650481,554524,492677,519296,751829,1508102,1568253,1261183,1296970,1271348,1294681,1325488,1432528,1488220,1689287,1764217,1757909,2242308,2685020,2956571,3506881,3490934,3643642,3586238,3272321,3676340,3683379,3829175,3981350
MA,Chambers St,Broadway/7 Ave Line (CBD),7/1/1918,,,3193198,3139631,3117870,2997264,2981173,2787493,2551205,2466615,2611054,2788509,2716400,2556502,2360524,2266295,2156039,2043856,1986649,1963260,2028350,2124311,2112572,2146381,2134212,2914325,3039937,3142187,3321017,3468410,3751443,3944692,3917954,3863181,3823356,3793523,3657360,3614584,3769572,3756963
MA,Franklin St,Broadway/7 Ave Line (CBD),7/1/1918,,,1205292,1236846,1250615,1192470,1187434,1099032,1040394,1019505,1003660,1000595,909626,803784,786574,786331,743394,691320,730471,742855,770437,790153,717950,662643,627558,631238,665040,721483,832493,1014720,1099183,1167103,1278662,1260856,1232651,1240676,1287082,1341396,1454371,1461651
MA,Canal St,Broadway/7 Ave Line (CBD),7/1/1918,,,1868476,1899940,1860797,1679482,1702088,1582711,1493457,1528272,1510362,1509882,1361045,1203396,1109288,1385877,931592,818309,823752,851813,874958,867337,1139141,868144,857335,908735,923625,935217,1074855,1210973,1300549,1403477,1268229,1163964,1160635,1215072,1318340,1343874,1490267,1510897
MA,Houston St,Broadway/7 Ave Line (CBD),7/1/1918,,,3354431,3477224,3631926,3590157,3411254,3255001,3164605,3271089,3155488,3241486,3108433,2828455,2725485,2469323,2297356,2072654,1980063,1937378,2002243,1921306,1751568,1710451,1635813,1783457,1817813,1865724,2069059,2377613,2688240,2685293,2622219,2573111,2491451,2451792,2438078,2627768,2912584,3017764
