Segment,Station,Boro,Comments,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Broadway/7 Av (CBD),"Wall St (2,3)",M,,5559616,6259166,6791732,7195174,7266956,6846932,6626770,6521454,6873815,7141634,7210267
Broadway/7 Av (CBD),"Fulton St (2,3)",M,"See Manhattan CBD Transfer: Fulton St (A,C,J,Z,2,3,4,5)",,,,,,,,,,,
Broadway/7 Av (CBD),"Park Place (2,3)",M,"See Manhattan CBD Transfer: Chambers St (A,C)/WTC (E)/Park Place (2,3)",,,,,,,,,,,
Broadway/7 Av (CBD),South Ferry (1),M,See Manhattan CBD Transfer: South Ferry (1)/Whitehall St (R),,,,,,,,,,,
Broadway/7 Av (CBD),Rector St (1),M,,1068313,1158258,1313073,953412,419547,1687908,1956366,1998298,1899403,1992921,2281857
Broadway/7 Av (CBD),Cortlandt St (1),M,,4324642,4913073,5400819,3890324,0,0,0,0,0,0,0
Broadway/7 Av (CBD),"Chambers St (1,2,3)",M,,4146877,4980515,4716972,4518907,4143184,4907665,5024961,5219959,5186126,5240212,5501448
Broadway/7 Av (CBD),Franklin St (1),M,,1504541,1637161,1848300,1997511,2119136,1765348,1736731,1764649,1706180,1704179,1740043
Broadway/7 Av (CBD),Canal St (1),M,,1609742,1726845,1919929,1895864,1845972,1735003,1810452,1808762,1708412,1646809,1730591
Broadway/7 Av (CBD),Houston St (1),M,,3503299,3932819,4224075,4149401,4216038,4141308,4076477,3924323,3800768,3840225,3905755
Broadway/7 Av (CBD),Christopher St-Sheridan Sq (1),M,,3332685,3547417,3807049,4159712,4659037,4148222,3803951,3685324,3402169,3457597,3479120
Broadway/7 Av (CBD),"14 St (1,2,3)",M,"See Manhattan CBD Transfer: 14 St (F,M,1,2,3)/6 Av (L)",,,,,,,,,,,
Broadway/7 Av (CBD),18 St (1),M,,2157392,2418870,2644363,2572880,2652564,2474448,2526155,2477803,2446479,2427699,2457457
Broadway/7 Av (CBD),23 St (1),M,,3554246,3877053,4263137,4507936,4547117,4528750,4680703,4775795,4677482,4658455,4615267
Broadway/7 Av (CBD),28 St (1),M,,2714499,3032917,3381107,3521210,3601420,3467608,3575889,3548645,3527112,3585713,3680019
Broadway/7 Av (CBD),"34 St-Penn Station (1,2,3)",M,,21163764,23866514,26533438,26331838,24403007,25995619,26121651,26140328,26362665,27804027,28343889
Broadway/7 Av (CBD),"Times Square-42 St (1,2,3)",M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
Broadway/7 Av (CBD),50 St (1),M,,6796214,7382893,8052456,7945115,8001597,7757002,8028430,7917491,8151244,8227633,8042404
Broadway/7 Av (CBD),59 St-Columbus Circle (1),M,"See Manhattan CBD Transfer: 59 St-Columbus Circle (A,B,C,D,1)",,,,,,,,,,,
Broadway/7 Av (CBD),Broadway/7 Av (CBD),,,61435830,68733501,74896450,73639284,67875575,69455813,69968536,69782831,69741855,71727104,72988117
Broadway/ 7 Av  (Non-CBD),66 St-Lincoln Center (1),M,,5123117,5537605,6674250,6663749,7100640,7014265,7134810,7096701,7271724,7165177,7090347
Broadway/ 7 Av  (Non-CBD),"72 St (1,2,3)",M,,9606988,10137956,10432954,10328830,9707887,10329897,11137535,11244174,11012939,11471075,11868122
Broadway/ 7 Av  (Non-CBD),79 St (1),M,,4596009,4930167,5319045,5182170,5393711,5179463,5455810,5473507,5459723,5548857,5285382
Broadway/ 7 Av  (Non-CBD),86 St (1),M,,5298715,5517024,5867038,5781073,5973398,5826800,6101130,6151020,6169110,6244181,6096820
Broadway/ 7 Av  (Non-CBD),"96 St (1,2,3)",M,,9203047,10177648,10631201,10421716,10143062,10890582,10778786,10832956,10890386,11285713,11464868
Broadway/ 7 Av  (Non-CBD),Broadway/ 7 Av  (Non-CBD) Total,,,33827876,36300400,38924488,38377538,38318698,39241007,40608071,40798358,40803882,41715003,41805539
Upper Broadway,103 St (1),M,,3726939,3646596,3969127,4012609,3957080,3434373,3990553,4177667,4314609,4347657,4447213
Upper Broadway,Cathedral Pkwy-110 St (1),M,,4132291,3911988,4172774,4280205,4163552,3731184,4075424,4107802,4138496,4225558,4389552
Upper Broadway,116 St-Columbia University (1),M,,3677823,3772845,4127703,4315048,4397610,4228865,4688052,4754989,4816774,4825577,4912623
Upper Broadway,125 St (1),M,,1969460,1918543,2056685,2055499,2094801,1769247,2081841,2231290,2282868,2358932,2444771
Upper Broadway,137 St-City College (1),M,,3692865,3699746,4003597,4188337,4102124,4229328,4352785,4413301,4400422,4515446,4618524
Upper Broadway,145 St (1),M,,2145082,2202792,2443775,2570212,2758898,2742084,2836023,2994977,3153357,3166049,3191262
Upper Broadway,157 St (1),M,,2418584,2476113,2649054,2757059,2862858,2872718,2989571,3073795,3154138,3213412,3255229
Upper Broadway,168 St (1),M,"See Upper Manhattan/Bronx Transfer: 168 St (A,C,1)",,,,,,,,,,,
Upper Broadway,181 St (1),M,,2492360,1587110,2535365,2877344,3026152,3458723,3302850,3355974,3509092,3583169,3764024
Upper Broadway,191 St (1),M,,1782292,1908497,1979623,2055249,2074260,1055873,2065690,2249208,2383493,2441749,2562177
Upper Broadway,Dyckman St (1),M,,1842760,1853761,1960114,2063127,2137188,2106243,2216004,2199188,2340886,2370738,2507617
Upper Broadway,207 St (1),M,,1162327,1157726,1254963,1358164,1472796,1345126,1457342,1538374,1718352,1711716,1907159
Upper Broadway,215 St (1),M,,453916,430925,428118,439038,533069,439168,444736,449209,492357,474222,597454
Upper Broadway,Marble Hill-225 St (1),M,,1088445,1104790,1141916,1205409,1180671,1136316,1277294,1508374,1967720,1782958,1907845
Upper Broadway,231 St (1),Bx,,2202960,2329470,2451143,2525111,2403439,2492483,2595743,2473850,1856137,2531151,2752351
Upper Broadway,238 St (1),Bx,,707090,751374,788884,826023,857516,841087,861486,944743,1179502,1097387,1164038
Upper Broadway,Van Cortlandt Park-242 St (1),Bx,,1603131,1616463,1684037,1679040,1589841,1628826,1677897,1685559,1811283,1829242,1974147
Upper Broadway,Upper Broadway Total,,,35098325,34368739,37646878,39207474,39611855,37511644,40913291,42158300,43519486,44474963,46395986
Lenox Av,"Central Park North-110 St (2,3)",M,,968010,1625505,1902834,2049550,1968176,2052134,2165878,2259699,2297847,2364377,2428811
Lenox Av,"116 St (2,3)",M,,670895,1569929,1941668,2120945,2295394,2488280,2579779,2760007,2942335,3053832,3156704
Lenox Av,"125 St (2,3)",M,,1306739,2549032,3000181,3238556,3292926,3566066,3677323,3769949,4001489,4196876,4342867
Lenox Av,"135 St (2,3)",M,,1724777,2787910,3102246,3283877,3318229,3412540,3448467,3555908,3761274,3853829,3944165
Lenox Av,145 St (3),M,,266639,566354,705817,757668,750535,786654,807763,785192,807125,790639,826061
Lenox Av,Harlem-148 St (3),M,,263059,583898,705870,781063,772323,819551,871935,898597,934115,925233,973522
Lenox Av,Lenox Av Total,,,5200119,9682628,11358616,12231659,12397583,13125225,13551145,14029352,14744185,15184786,15672130
Lexington Av (CBD),"Bowling Green (4,5)",M,,6231436,6594141,7227052,8620774,8991442,7179979,7012780,6701589,6515018,7373350,8149442
Lexington Av (CBD),"Wall St (4,5)",M,,5439330,5841008,6354350,6221822,6230074,5893108,6121749,6026435,6032347,6389005,6554082
Lexington Av (CBD),"Fulton St (4,5)",M,"See Manhattan CBD Transfer: Fulton St (A,C,J,Z,2,3,4,5)",,,,,,,,,,,
Lexington Av (CBD),"Brooklyn Bridge-City Hall (4,5,6)",M,"See Manhattan CBD Transfer: Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,,,,,,,,,,
Lexington Av (CBD),Canal St (6),M,"See Manhattan CBD Transfer: Canal St (J,N,Q,R,Z,6)",,,,,,,,,,,
Lexington Av (CBD),Spring St (6),M,,2108035,2367944,2608415,2953540,3150686,3035949,3227446,3340093,3439297,3605195,3735740
Lexington Av (CBD),Bleecker St (6),M,"See Manhattan CBD Transfer: Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,,,,,,,,,,
Lexington Av (CBD),Astor Place (6),M,,4893177,5354130,5644998,6408554,6020810,5558488,5580740,5595880,5674338,5761704,5877128
Lexington Av (CBD),"14 St-Union Sq (4,5,6)",M,"See Manhattan CBD Transfer: 14 St-Union Sq (L,N,Q,R,4,5,6)",,,,,,,,,,,
Lexington Av (CBD),23 St (6),M,,7070839,7475754,7937682,8600995,8625057,8362687,8615431,8774941,8948084,9049048,9239171
Lexington Av (CBD),28 St (6),M,,5475238,5780905,6264428,6366076,6189187,6014145,6185192,6263503,6366135,6593781,6751198
Lexington Av (CBD),33 St (6),M,,6829517,7438606,8127428,8178813,8271183,8174081,8515112,8685143,8916430,9261797,9483622
Lexington Av (CBD),"Grand Central-42 St (4,5,6)",M,"See Manhattan CBD Transfer: Grand Central-42 St (S,4,5,6,7)",,,,,,,,,,,
Lexington Av (CBD),51 St (6),M,"See Manhattan CBD Transfer: Lexington Av-53 St (E,M)/51 St (6)",,,,,,,,,,,
Lexington Av (CBD),"59 St (4,5,6)",M,"See Manhattan CBD Transfer: Lexington Av (N,Q,R)/59 St (4,5,6)",,,,,,,,,,,
Lexington Av (CBD),Lexington Av (CBD) Total,,,38047572,40852488,44164353,47350574,47478439,44218437,45258450,45387584,45891649,48033880,49790383
Lexington Av  (Non-CBD),68 St-Hunter College (6),M,,9023059,9489933,9762139,9837416,9740347,9746974,9889160,9824037,10141574,10421267,10558351
Lexington Av  (Non-CBD),77 St (6),M,,8793602,9077649,9761919,9591457,9526763,9512425,9824355,9842233,10370584,10734505,10954760
Lexington Av  (Non-CBD),"86 St (4,5,6)",M,,15436360,16164877,16898144,16996098,16771535,16734953,17601427,17962809,17927054,18669644,19432701
Lexington Av  (Non-CBD),96 St (6),M,,5860764,6106845,6481299,6497773,6538683,6474437,6629644,6602638,6956287,7229943,7470326
Lexington Av  (Non-CBD),103 St (6),M,,3598220,3816772,4024595,3999075,4008806,3955597,4022155,4056119,4280165,4402659,4573700
Lexington Av  (Non-CBD),110 St (6),M,,2728321,2635497,2775087,2990257,3070608,3021190,3127420,3195159,3385424,3521483,3626056
Lexington Av  (Non-CBD),116 St (6),M,,3196229,3411232,3825716,3983617,4051653,3992506,4115260,4211583,4451923,4585336,4798220
Lexington Av  (Non-CBD),"125 St (4,5,6)",M,,5409808,5521050,5963607,6440074,7003634,7043695,7382846,7563786,7768381,8295082,8681735
Lexington Av  (Non-CBD),Lexington Av  (Non-CBD) Total,,,54046363,56223855,59492506,60335767,60712029,60481777,62592267,63258364,65281392,67859919,70095849
Jerome Av,"138 St-Grand Concourse (4,5)",Bx,,642976,657318,669111,695696,739438,742377,732203,744596,764138,800595,864369
Jerome Av,149 St-Grand Concourse (4),Bx,"See Upper Manhattan/Bronx Transfer: 149 St-Grand Concourse (2,4,5)",,,,,,,,,,,
Jerome Av,161 St-Yankee Stadium (4),Bx,"See Upper Manhattan/Bronx Transfer: 161 St-Yankee Stadium (B,D,4)",,,,,,,,,,,
Jerome Av,167 St (4),Bx,,2040036,2094809,2287301,2375002,2552792,2463162,1899131,2467387,2640679,2715327,2876058
Jerome Av,170 St (4),Bx,,1834615,1871571,2069091,2166104,2343422,2273289,1708634,2195746,2411412,2523549,2735272
Jerome Av,Mt Eden Av (4),Bx,,1284752,1316420,1396569,1428197,1509617,1422198,1305450,1474233,1558846,1538588,1607256
Jerome Av,176 St (4),Bx,,1256701,1280636,1377562,1366489,1462025,1404962,902169,1282421,1633856,1454231,1604117
Jerome Av,Burnside Av (4),Bx,,2454812,2582104,2699242,2764792,2976665,2990327,3301840,3099914,2020817,3182286,3241959
Jerome Av,183 St (4),Bx,,1392781,1384378,1523092,1624672,1740423,1696523,1949172,1813197,1922683,1073820,1864350
Jerome Av,Fordham Rd (4),Bx,,2431497,2465412,2803460,2943268,3195275,3098644,1946018,2937705,3193333,3954572,3643168
Jerome Av,Kingsbridge Rd (4),Bx,,2145017,2177107,2345163,2429177,2589354,2551109,2847877,2705838,2780902,1557595,2754063
Jerome Av,Bedford Park Blvd-Lehman College (4),Bx,,1118074,1112408,1218432,1282122,1441745,1466841,1527419,1584053,996516,1614531,1719816
Jerome Av,Mosholu Pkwy (4),Bx,,2182682,2069046,2194487,2211341,2362883,2388032,2475584,2525920,2621633,2155241,2539286
Jerome Av,Woodlawn (4),Bx,,1226742,1229205,1359360,1421650,1470343,1466328,1501048,1472163,1594128,1963703,2051564
Jerome Av,Jerome Av Total,,,20010685,20240414,21942870,22708510,24383982,23963792,22096545,24303173,24138943,24534038,27501278
White Plains Rd,"149 St-Grand Concourse (2,5)",Bx,"See Upper Manhattan/Bronx Transfer: 149 St-Grand Concourse (2,4,5)",,,,,,,,,,,
White Plains Rd,"3 Av-149 St (2,5)",Bx,,4856638,5403196,5812272,6157503,6191056,6217625,6497196,6636821,6794193,7095262,7393330
White Plains Rd,"Jackson Av (2,5)",Bx,,937999,1100799,1171512,1265164,1240461,1184106,1203331,1251456,1424610,1527291,1600588
White Plains Rd,"Prospect Av (2,5)",Bx,,1376757,1515155,1573887,1669193,1625399,1671719,1653495,1670356,1970278,2208977,2335593
White Plains Rd,"Intervale Av (2,5)",Bx,,533145,591453,613795,668462,678835,676763,661813,749515,776002,826760,870362
White Plains Rd,"Simpson St (2,5)",Bx,,1682397,2031059,2136488,2267465,2186100,2144214,2217715,2145389,2545082,2816132,2974529
White Plains Rd,"Freeman St (2,5)",Bx,,678349,711975,758341,798269,783956,928838,578231,828381,944658,1043539,1150491
White Plains Rd,"174 St (2,5)",Bx,,1244202,1347715,1378309,1506939,1546002,1110688,1580913,1742120,1913276,2047981,2159617
White Plains Rd,"West Farms Sq-East Tremont Av (2,5)",Bx,,1490323,1773067,1707910,1843274,1788715,1793197,1619043,1866907,2149787,2266956,2366256
White Plains Rd,"East 180 St (2,5)",Bx,,1296706,1365778,1440676,1466813,1507479,1584669,1779606,1744416,1811514,1824605,2041507
White Plains Rd,"Bronx Park East (2,5)",Bx,,436025,473868,495671,548956,564374,583895,597634,684312,828281,856682,880102
White Plains Rd,"Pelham Pkwy (2,5)",Bx,,1564393,1733902,1847372,1984764,2006996,2013303,1987079,2153840,1959901,2313926,2514944
White Plains Rd,"Allerton Av (2,5)",Bx,,1217642,1292177,1340966,1427038,1461543,1447198,1604585,979522,1449177,1574252,1625023
White Plains Rd,"Burke Av (2,5)",Bx,,801668,840916,862065,901035,894571,885593,570384,1050160,974624,1019924,1047965
White Plains Rd,"Gun Hill Rd (2,5)",Bx,,1128878,1217640,1346068,1407781,1389294,1312905,1224429,1229700,1644660,1739590,1864323
White Plains Rd,"219 St (2,5)",Bx,,675640,690935,719899,725271,741437,747100,755902,941013,513898,854553,926893
White Plains Rd,"225 St (2,5)",Bx,,826341,854453,872369,901909,966368,959801,934142,676628,1265222,1095409,1173697
White Plains Rd,"233 St (2,5)",Bx,,1222232,1255562,1302185,1283596,1309659,1276372,1250222,1357525,1056953,1375404,1485276
White Plains Rd,"Nereid Av (2,5)",Bx,,709562,748373,811342,798970,819725,817459,801268,1139170,690663,857763,929559
White Plains Rd,Wakefield-241 St (2),Bx,,1014530,1064656,992541,1045011,1087358,1114389,1101554,664272,1132407,1272043,1344876
White Plains Rd,White Plains Rd Total,,,23693427,26012679,27183668,28667413,28789328,28469834,28618542,29511503,31845186,34617049,36684931
Dyre Av,Morris Park (5),Bx,,422950,431820,418034,445159,444319,433831,456571,489782,554611,550547,570262
Dyre Av,Pelham Pkwy (5),Bx,,605027,641922,641137,665085,696860,694114,732950,798976,830675,840151,870544
Dyre Av,Gun Hill Rd (5),Bx,,1456385,1553395,1449127,1532449,1573545,1519853,1590836,1644704,1717442,1753569,1817798
Dyre Av,Baychester Av (5),Bx,,876823,904578,924798,956529,971895,957821,992462,1007547,1085754,1112821,1168224
Dyre Av,Eastchester-Dyre Av (5),Bx,,907969,953725,973483,990129,987813,970739,1005527,1045920,1107354,1146326,1251842
Dyre Av,Dyre Av Total,,,4269154,4485440,4406579,4589351,4674432,4576358,4778346,4986929,5295836,5403414,5678670
Pelham,3 Av-138 St (6),Bx,,1309163,1373246,1452578,1575887,1727620,1731874,1859424,1878180,2031493,2023274,2159647
Pelham,Brook Av (6),Bx,,1257845,1330707,1474818,1573905,1656656,1699350,1732053,1780295,1722026,1825026,1915123
Pelham,Cypress Av (6),Bx,,667164,714152,763070,807611,863821,862614,873732,939542,972373,1037151,1136278
Pelham,East 143 St-St Mary's St (6),Bx,,190324,194144,230725,255783,278303,278239,279588,271348,273671,271886,264788
Pelham,East 149 St (6),Bx,,886210,929906,1045618,1083833,1174670,1205275,1259948,1366935,1331444,1337401,1393227
