borough,closing,opening,station,transfer_segement,transfer_station_name,segment,station_name,line_designators,full_station_name,line,annual_ridership,fiscal_year,student_to_total,annual_ridership_student_adj
M,,1918-07-01,Wall St,,,Broadway/7 Av (CBD),Wall St,"['2', '3']","Wall St (2,3)",2,5222005.0,1997,1.0637468361812454,5554891.297272645
M,,1918-07-01,Wall St,,,Broadway/7 Av (CBD),Wall St,"['2', '3']","Wall St (2,3)",3,5222005.0,1997,1.0637468361812454,5554891.297272645
M,,1918-07-01,Rector St,,,Broadway/7 Av (CBD),Rector St,['1'],Rector St (1),1,950915.0,1997,1.0637468361812454,1011532.822727289
M,,1918-07-01,Cortlandt St,,,Broadway/7 Av (CBD),Cortlandt St,['1'],Cortlandt St (1),1,3981350.0,1997,1.0637468361812454,4235148.466230202
M,,1918-07-01,Chambers St,,,Broadway/7 Av (CBD),Chambers St,"['1', '2', '3']","Chambers St (1,2,3)",1,3756963.0,1997,1.0637468361812454,3996457.5049000005
M,,1918-07-01,Chambers St,,,Broadway/7 Av (CBD),Chambers St,"['1', '2', '3']","Chambers St (1,2,3)",2,3756963.0,1997,1.0637468361812454,3996457.5049000005
M,,1918-07-01,Chambers St,,,Broadway/7 Av (CBD),Chambers St,"['1', '2', '3']","Chambers St (1,2,3)",3,3756963.0,1997,1.0637468361812454,3996457.5049000005
M,,1918-07-01,Franklin St,,,Broadway/7 Av (CBD),Franklin St,['1'],Franklin St (1),1,1461651.0,1997,1.0637468361812454,1554826.6268511536
M,,1918-07-01,Canal St,,,Broadway/7 Av (CBD),Canal St,['1'],Canal St (1),1,1510897.0,1997,1.0637468361812454,1607211.9035457352
M,,1918-07-01,Houston St,,,Broadway/7 Av (CBD),Houston St,['1'],Houston St (1),1,3017764.0,1997,1.0637468361812454,3210136.90734166
M,,1918-07-01,Christopher St-Sheridan Sq,,,Broadway/7 Av (CBD),Christopher St-Sheridan Sq,['1'],Christopher St-Sheridan Sq (1),1,3064116.0,1997,1.0637468361812454,3259443.700692333
M,,1918-07-01,18 St,,,Broadway/7 Av (CBD),18 St,['1'],18 St (1),1,1891859.0,1997,1.0637468361812454,2012459.0257510147
M,,1918-07-01,23 St,,,Broadway/7 Av (CBD),23 St,['1'],23 St (1),1,3146530.0,1997,1.0637468361812454,3347111.3324493743
M,,1918-07-01,28 St,,,Broadway/7 Av (CBD),28 St,['1'],28 St (1),1,2487188.0,1997,1.0637468361812454,2645738.3659879593
M,,1917-06-03,34 St-Penn Station,,,Broadway/7 Av (CBD),34 St-Penn Station,"['1', '2', '3']","34 St-Penn Station (1,2,3)",1,20453580.0,1997,1.0637468361812454,21757431.01358
M,,1917-06-03,34 St-Penn Station,,,Broadway/7 Av (CBD),34 St-Penn Station,"['1', '2', '3']","34 St-Penn Station (1,2,3)",2,20453580.0,1997,1.0637468361812454,21757431.01358
