borough,segment,full_station_name,transfer_segment,transfer_station_name,line_designators,station_name,line,annual_ridership,year
M,Broadway/7 Av (CBD),"Wall St (2,3)",,,"['2', '3']",Wall St,2,7210267.0,2008
M,Broadway/7 Av (CBD),"Wall St (2,3)",,,"['2', '3']",Wall St,3,7210267.0,2008
M,Broadway/7 Av (CBD),Rector St (1),,,['1'],Rector St,1,2281857.0,2008
M,Broadway/7 Av (CBD),Cortlandt St (1),,,['1'],Cortlandt St,1,0.0,2008
M,Broadway/7 Av (CBD),"Chambers St (1,2,3)",,,"['1', '2', '3']",Chambers St,1,5501448.0,2008
M,Broadway/7 Av (CBD),"Chambers St (1,2,3)",,,"['1', '2', '3']",Chambers St,2,5501448.0,2008
M,Broadway/7 Av (CBD),"Chambers St (1,2,3)",,,"['1', '2', '3']",Chambers St,3,5501448.0,2008
M,Broadway/7 Av (CBD),Franklin St (1),,,['1'],Franklin St,1,1740043.0,2008
M,Broadway/7 Av (CBD),Canal St (1),,,['1'],Canal St,1,1730591.0,2008
M,Broadway/7 Av (CBD),Houston St (1),,,['1'],Houston St,1,3905755.0,2008
M,Broadway/7 Av (CBD),Christopher St-Sheridan Sq (1),,,['1'],Christopher St-Sheridan Sq,1,3479120.0,2008
M,Broadway/7 Av (CBD),18 St (1),,,['1'],18 St,1,2457457.0,2008
M,Broadway/7 Av (CBD),23 St (1),,,['1'],23 St,1,4615267.0,2008
M,Broadway/7 Av (CBD),28 St (1),,,['1'],28 St,1,3680019.0,2008
M,Broadway/7 Av (CBD),"34 St-Penn Station (1,2,3)",,,"['1', '2', '3']",34 St-Penn Station,1,28343889.0,2008
M,Broadway/7 Av (CBD),"34 St-Penn Station (1,2,3)",,,"['1', '2', '3']",34 St-Penn Station,2,28343889.0,2008
M,Broadway/7 Av (CBD),"34 St-Penn Station (1,2,3)",,,"['1', '2', '3']",34 St-Penn Station,3,28343889.0,2008
M,Broadway/7 Av (CBD),50 St (1),,,['1'],50 St,1,8042404.0,2008
M,Broadway/ 7 Av  (Non-CBD),66 St-Lincoln Center (1),,,['1'],66 St-Lincoln Center,1,7090347.0,2008
M,Broadway/ 7 Av  (Non-CBD),"72 St (1,2,3)",,,"['1', '2', '3']",72 St,1,11868122.0,2008
M,Broadway/ 7 Av  (Non-CBD),"72 St (1,2,3)",,,"['1', '2', '3']",72 St,2,11868122.0,2008
M,Broadway/ 7 Av  (Non-CBD),"72 St (1,2,3)",,,"['1', '2', '3']",72 St,3,11868122.0,2008
M,Broadway/ 7 Av  (Non-CBD),79 St (1),,,['1'],79 St,1,5285382.0,2008
M,Broadway/ 7 Av  (Non-CBD),86 St (1),,,['1'],86 St,1,6096820.0,2008
M,Broadway/ 7 Av  (Non-CBD),"96 St (1,2,3)",,,"['1', '2', '3']",96 St,1,11464868.0,2008
M,Broadway/ 7 Av  (Non-CBD),"96 St (1,2,3)",,,"['1', '2', '3']",96 St,2,11464868.0,2008
M,Broadway/ 7 Av  (Non-CBD),"96 St (1,2,3)",,,"['1', '2', '3']",96 St,3,11464868.0,2008
M,Upper Broadway,103 St (1),,,['1'],103 St,1,4447213.0,2008
M,Upper Broadway,Cathedral Pkwy-110 St (1),,,['1'],Cathedral Pkwy-110 St,1,4389552.0,2008
M,Upper Broadway,116 St-Columbia University (1),,,['1'],116 St-Columbia University,1,4912623.0,2008
M,Upper Broadway,125 St (1),,,['1'],125 St,1,2444771.0,2008
M,Upper Broadway,137 St-City College (1),,,['1'],137 St-City College,1,4618524.0,2008
M,Upper Broadway,145 St (1),,,['1'],145 St,1,3191262.0,2008
M,Upper Broadway,157 St (1),,,['1'],157 St,1,3255229.0,2008
M,Upper Broadway,181 St (1),,,['1'],181 St,1,3764024.0,2008
M,Upper Broadway,191 St (1),,,['1'],191 St,1,2562177.0,2008
M,Upper Broadway,Dyckman St (1),,,['1'],Dyckman St,1,2507617.0,2008
