borough,station_name,line_designators,station_key,line_designators_str,annual_ridership,year,date_standardized,line,station_key_split
Bx,138 St-Grand Concourse,"['4', '5']",138_St_Grand_Concourse|4_5,4_5,800595,2007,2007-12-31,4,4|138_St_Grand_Concourse|4_5
Bx,138 St-Grand Concourse,"['4', '5']",138_St_Grand_Concourse|4_5,4_5,800595,2007,2007-12-31,5,5|138_St_Grand_Concourse|4_5
Bx,149 St-Grand Concourse,"['2', '4', '5']",149_St_Grand_Concourse|2_4_5,2_4_5,3112547,2007,2007-12-31,2,2|149_St_Grand_Concourse|2_4_5
Bx,149 St-Grand Concourse,"['2', '4', '5']",149_St_Grand_Concourse|2_4_5,2_4_5,3112547,2007,2007-12-31,4,4|149_St_Grand_Concourse|2_4_5
Bx,149 St-Grand Concourse,"['2', '4', '5']",149_St_Grand_Concourse|2_4_5,2_4_5,3112547,2007,2007-12-31,5,5|149_St_Grand_Concourse|2_4_5
Bx,161 St-Yankee Stadium,"['B', 'D', '4']",161_St_Yankee_Stadium|B_D_4,B_D_4,7836990,2007,2007-12-31,B,B|161_St_Yankee_Stadium|B_D_4
Bx,161 St-Yankee Stadium,"['B', 'D', '4']",161_St_Yankee_Stadium|B_D_4,B_D_4,7836990,2007,2007-12-31,D,D|161_St_Yankee_Stadium|B_D_4
Bx,161 St-Yankee Stadium,"['B', 'D', '4']",161_St_Yankee_Stadium|B_D_4,B_D_4,7836990,2007,2007-12-31,4,4|161_St_Yankee_Stadium|B_D_4
Bx,167 St,['4'],167_St|4,4,2715327,2007,2007-12-31,4,4|167_St|4
Bx,167 St,"['B', 'D']",167_St|B_D,B_D,2834640,2007,2007-12-31,B,B|167_St|B_D
Bx,167 St,"['B', 'D']",167_St|B_D,B_D,2834640,2007,2007-12-31,D,D|167_St|B_D
Bx,170 St,['4'],170_St|4,4,2523549,2007,2007-12-31,4,4|170_St|4
Bx,170 St,"['B', 'D']",170_St|B_D,B_D,2019834,2007,2007-12-31,B,B|170_St|B_D
Bx,170 St,"['B', 'D']",170_St|B_D,B_D,2019834,2007,2007-12-31,D,D|170_St|B_D
Bx,174 St,"['2', '5']",174_St|2_5,2_5,2047981,2007,2007-12-31,2,2|174_St|2_5
Bx,174 St,"['2', '5']",174_St|2_5,2_5,2047981,2007,2007-12-31,5,5|174_St|2_5
Bx,174-175 Sts,"['B', 'D']",174_175_Sts|B_D,B_D,1490168,2007,2007-12-31,B,B|174_175_Sts|B_D
Bx,174-175 Sts,"['B', 'D']",174_175_Sts|B_D,B_D,1490168,2007,2007-12-31,D,D|174_175_Sts|B_D
Bx,176 St,['4'],176_St|4,4,1454231,2007,2007-12-31,4,4|176_St|4
Bx,182-183 Sts,"['B', 'D']",182_183_Sts|B_D,B_D,1592710,2007,2007-12-31,B,B|182_183_Sts|B_D
